date,cases
2021-01-17,204
2021-01-16,204
2021-01-15,204
2021-01-14,203
2021-01-13,202
2021-01-12,201
2021-01-11,201
2021-01-10,199
2021-01-09,197
2021-01-08,196
2021-01-07,194
2021-01-06,193
2021-01-05,193
2021-01-04,193
2021-01-03,192
2021-01-02,190
2021-01-01,190
2020-12-31,189
2020-12-30,187
2020-12-29,186
2020-12-28,182
2020-12-27,181
2020-12-26,178
2020-12-25,175
2020-12-24,175
2020-12-23,175
2020-12-22,175
2020-12-21,175
2020-12-20,174
2020-12-19,173
2020-12-18,173
2020-12-17,171
2020-12-16,168
2020-12-15,166
2020-12-14,166
2020-12-13,162
2020-12-12,162
2020-12-11,161
2020-12-10,159
2020-12-09,158
2020-12-08,157
2020-12-07,157
2020-12-06,155
2020-12-05,153
2020-12-04,152
2020-12-03,152
2020-12-02,150
2020-12-01,149
2020-11-30,148
2020-11-29,147
2020-11-28,145
2020-11-27,144
2020-11-26,142
2020-11-25,136
2020-11-24,136
2020-11-23,133
2020-11-22,132
2020-11-21,132
2020-11-20,131
2020-11-19,129
2020-11-18,128
2020-11-17,126
2020-11-16,125
2020-11-15,124
2020-11-14,121
2020-11-13,121
2020-11-12,118
2020-11-11,118
2020-11-10,118
2020-11-09,118
2020-11-08,116
2020-11-07,114
2020-11-06,112
2020-11-05,110
2020-11-04,109
2020-11-03,106
2020-11-02,103
2020-11-01,103
2020-10-31,103
2020-10-30,103
2020-10-29,100
2020-10-28,100
2020-10-27,98
2020-10-26,97
2020-10-25,94
2020-10-24,94
2020-10-23,94
2020-10-22,94
2020-10-21,92
2020-10-20,91
2020-10-19,91
2020-10-18,89
2020-10-17,88
2020-10-16,86
2020-10-15,84
2020-10-14,82
2020-10-13,80
2020-10-12,79
2020-10-11,78
2020-10-10,78
2020-10-09,76
2020-10-08,76
2020-10-07,75
2020-10-06,75
2020-10-05,75
2020-10-04,74
2020-10-03,74
2020-10-02,74
2020-10-01,73
2020-09-30,72
2020-09-29,72
2020-09-28,72
2020-09-27,71
2020-09-26,71
2020-09-25,71
2020-09-24,71
2020-09-23,71
2020-09-22,71
2020-09-21,71
2020-09-20,71
2020-09-19,71
2020-09-18,71
2020-09-17,71
2020-09-16,71
2020-09-15,71
2020-09-14,71
2020-09-13,71
2020-09-12,71
2020-09-11,71
2020-09-10,71
2020-09-09,71
2020-09-08,71
2020-09-07,71
2020-09-06,71
2020-09-05,71
2020-09-04,71
2020-09-03,71
2020-09-02,71
2020-09-01,71
2020-08-31,71
2020-08-30,71
2020-08-29,71
2020-08-28,71
2020-08-27,71
2020-08-26,71
2020-08-25,71
2020-08-24,71
2020-08-23,71
2020-08-22,71
2020-08-21,71
2020-08-20,71
2020-08-19,71
2020-08-18,71
2020-08-17,71
2020-08-16,71
2020-08-15,71
2020-08-14,71
2020-08-13,71
2020-08-12,71
2020-08-11,71
2020-08-10,71
2020-08-09,71
2020-08-08,71
2020-08-07,71
2020-08-06,71
2020-08-05,71
2020-08-04,71
2020-08-03,71
2020-08-02,71
2020-08-01,71
2020-07-31,71
2020-07-30,71
2020-07-29,71
2020-07-28,71
2020-07-27,71
2020-07-26,71
2020-07-25,71
