date,cases
2021-01-17,5551
2021-01-16,5542
2021-01-15,5512
2021-01-14,5464
2021-01-13,5402
2021-01-12,5350
2021-01-11,5300
2021-01-10,5216
2021-01-09,5186
2021-01-08,5152
2021-01-07,5092
2021-01-06,5020
2021-01-05,4945
2021-01-04,4870
2021-01-03,4778
2021-01-02,4705
2021-01-01,4641
2020-12-31,4604
2020-12-30,4529
2020-12-29,4442
2020-12-28,4340
2020-12-27,4268
2020-12-26,4223
2020-12-25,4196
2020-12-24,4180
2020-12-23,4143
2020-12-22,4105
2020-12-21,4046
2020-12-20,3986
2020-12-19,3956
2020-12-18,3938
2020-12-17,3912
2020-12-16,3888
2020-12-15,3853
2020-12-14,3817
2020-12-13,3772
2020-12-12,3751
2020-12-11,3739
2020-12-10,3715
2020-12-09,3689
2020-12-08,3665
2020-12-07,3635
2020-12-06,3595
2020-12-05,3560
2020-12-04,3529
2020-12-03,3508
2020-12-02,3488
2020-12-01,3453
2020-11-30,3409
2020-11-29,3366
2020-11-28,3353
2020-11-27,3320
2020-11-26,3286
2020-11-25,3240
2020-11-24,3202
2020-11-23,3161
2020-11-22,3114
2020-11-21,3080
2020-11-20,3048
2020-11-19,3023
2020-11-18,2976
2020-11-17,2924
2020-11-16,2865
2020-11-15,2799
2020-11-14,2750
2020-11-13,2715
2020-11-12,2660
2020-11-11,2608
2020-11-10,2542
2020-11-09,2485
2020-11-08,2413
2020-11-07,2393
2020-11-06,2347
2020-11-05,2296
2020-11-04,2238
2020-11-03,2188
2020-11-02,2134
2020-11-01,2085
2020-10-31,2033
2020-10-30,1996
2020-10-29,1952
2020-10-28,1932
2020-10-27,1895
2020-10-26,1847
2020-10-25,1808
2020-10-24,1788
2020-10-23,1742
2020-10-22,1710
2020-10-21,1662
2020-10-20,1596
2020-10-19,1529
2020-10-18,1479
2020-10-17,1454
2020-10-16,1420
2020-10-15,1382
2020-10-14,1332
2020-10-13,1256
2020-10-12,1215
2020-10-11,1175
2020-10-10,1155
2020-10-09,1136
2020-10-08,1108
2020-10-07,1070
2020-10-06,1034
2020-10-05,1009
2020-10-04,977
2020-10-03,968
2020-10-02,946
2020-10-01,924
2020-09-30,895
2020-09-29,872
2020-09-28,850
2020-09-27,815
2020-09-26,802
2020-09-25,783
2020-09-24,773
2020-09-23,751
2020-09-22,735
2020-09-21,723
2020-09-20,714
2020-09-19,700
2020-09-18,691
2020-09-17,690
2020-09-16,684
2020-09-15,679
2020-09-14,677
2020-09-13,672
2020-09-12,670
2020-09-11,667
2020-09-10,666
2020-09-09,662
2020-09-08,655
2020-09-07,651
2020-09-06,645
2020-09-05,644
2020-09-04,639
2020-09-03,637
2020-09-02,636
2020-09-01,636
2020-08-31,634
2020-08-30,633
2020-08-29,633
2020-08-28,627
2020-08-27,623
2020-08-26,622
2020-08-25,621
2020-08-24,620
2020-08-23,620
2020-08-22,620
2020-08-21,620
2020-08-20,620
2020-08-19,620
2020-08-18,620
2020-08-17,618
2020-08-16,618
2020-08-15,618
2020-08-14,618
2020-08-13,618
2020-08-12,617
2020-08-11,617
2020-08-10,616
2020-08-09,616
2020-08-08,616
2020-08-07,616
2020-08-06,616
2020-08-05,614
2020-08-04,614
2020-08-03,613
2020-08-02,613
2020-08-01,613
2020-07-31,613
2020-07-30,613
2020-07-29,609
2020-07-28,609
2020-07-27,609
2020-07-26,609
2020-07-25,609
