date,cases
2021-01-17,1010
2021-01-16,1010
2021-01-15,1010
2021-01-14,1003
2021-01-13,995
2021-01-12,989
2021-01-11,984
2021-01-10,973
2021-01-09,965
2021-01-08,954
2021-01-07,950
2021-01-06,944
2021-01-05,935
2021-01-04,933
2021-01-03,928
2021-01-02,927
2021-01-01,921
2020-12-31,915
2020-12-30,911
2020-12-29,903
2020-12-28,900
2020-12-27,890
2020-12-26,886
2020-12-25,878
2020-12-24,876
2020-12-23,872
2020-12-22,865
2020-12-21,856
2020-12-20,853
2020-12-19,846
2020-12-18,841
2020-12-17,836
2020-12-16,833
2020-12-15,829
2020-12-14,823
2020-12-13,815
2020-12-12,813
2020-12-11,811
2020-12-10,807
2020-12-09,804
2020-12-08,801
2020-12-07,798
2020-12-06,795
2020-12-05,794
2020-12-04,789
2020-12-03,787
2020-12-02,784
2020-12-01,782
2020-11-30,779
2020-11-29,770
2020-11-28,762
2020-11-27,760
2020-11-26,752
2020-11-25,744
2020-11-24,739
2020-11-23,732
2020-11-22,727
2020-11-21,720
2020-11-20,708
2020-11-19,700
2020-11-18,693
2020-11-17,683
2020-11-16,675
2020-11-15,670
2020-11-14,659
2020-11-13,650
2020-11-12,647
2020-11-11,640
2020-11-10,635
2020-11-09,628
2020-11-08,616
2020-11-07,613
2020-11-06,609
2020-11-05,604
2020-11-04,600
2020-11-03,598
2020-11-02,594
2020-11-01,591
2020-10-31,582
2020-10-30,580
2020-10-29,574
2020-10-28,571
2020-10-27,566
2020-10-26,564
2020-10-25,562
2020-10-24,560
2020-10-23,556
2020-10-22,556
2020-10-21,553
2020-10-20,549
2020-10-19,546
2020-10-18,542
2020-10-17,538
2020-10-16,531
2020-10-15,527
2020-10-14,524
2020-10-13,519
2020-10-12,517
2020-10-11,517
2020-10-10,516
2020-10-09,514
2020-10-08,513
2020-10-07,511
2020-10-06,508
2020-10-05,508
2020-10-04,507
2020-10-03,505
2020-10-02,504
2020-10-01,502
2020-09-30,502
2020-09-29,502
2020-09-28,501
2020-09-27,501
2020-09-26,501
2020-09-25,500
2020-09-24,500
2020-09-23,500
2020-09-22,499
2020-09-21,499
2020-09-20,499
2020-09-19,499
2020-09-18,499
2020-09-17,499
2020-09-16,499
2020-09-15,499
2020-09-14,499
2020-09-13,499
2020-09-12,499
2020-09-11,499
2020-09-10,499
2020-09-09,499
2020-09-08,499
2020-09-07,499
2020-09-06,499
2020-09-05,499
2020-09-04,498
2020-09-03,498
2020-09-02,498
2020-09-01,498
2020-08-31,498
2020-08-30,498
2020-08-29,498
2020-08-28,498
2020-08-27,498
2020-08-26,498
2020-08-25,498
2020-08-24,498
2020-08-23,498
2020-08-22,498
2020-08-21,498
2020-08-20,498
2020-08-19,498
2020-08-18,498
2020-08-17,498
2020-08-16,498
2020-08-15,498
2020-08-14,498
2020-08-13,498
2020-08-12,498
2020-08-11,498
2020-08-10,498
2020-08-09,498
2020-08-08,498
2020-08-07,498
2020-08-06,498
2020-08-05,498
2020-08-04,498
2020-08-03,498
2020-08-02,498
2020-08-01,498
2020-07-31,498
2020-07-30,498
2020-07-29,498
2020-07-28,498
2020-07-27,498
2020-07-26,498
2020-07-25,498
