date,cases
2021-01-17,29878
2021-01-16,29839
2021-01-15,29667
2021-01-14,29429
2021-01-13,29255
2021-01-12,28995
2021-01-11,28709
2021-01-10,28385
2021-01-09,28192
2021-01-08,27980
2021-01-07,27777
2021-01-06,27438
2021-01-05,27117
2021-01-04,26775
2021-01-03,26267
2021-01-02,25887
2021-01-01,25507
2020-12-31,25315
2020-12-30,24951
2020-12-29,24433
2020-12-28,23905
2020-12-27,23589
2020-12-26,23306
2020-12-25,23097
2020-12-24,23027
2020-12-23,22854
2020-12-22,22605
2020-12-21,22342
2020-12-20,22097
2020-12-19,21913
2020-12-18,21764
2020-12-17,21594
2020-12-16,21439
2020-12-15,21285
2020-12-14,21121
2020-12-13,20924
2020-12-12,20820
2020-12-11,20747
2020-12-10,20619
2020-12-09,20514
2020-12-08,20395
2020-12-07,20256
2020-12-06,20110
2020-12-05,20009
2020-12-04,19921
2020-12-03,19812
2020-12-02,19689
2020-12-01,19574
2020-11-30,19466
2020-11-29,19341
2020-11-28,19246
2020-11-27,19142
2020-11-26,19023
2020-11-25,18896
2020-11-24,18715
2020-11-23,18554
2020-11-22,18374
2020-11-21,18243
2020-11-20,18129
2020-11-19,17934
2020-11-18,17761
2020-11-17,17528
2020-11-16,17238
2020-11-15,16947
2020-11-14,16754
2020-11-13,16572
2020-11-12,16274
2020-11-11,15981
2020-11-10,15641
2020-11-09,15286
2020-11-08,14906
2020-11-07,14649
2020-11-06,14377
2020-11-05,14111
2020-11-04,13788
2020-11-03,13514
2020-11-02,13262
2020-11-01,12911
2020-10-31,12685
2020-10-30,12520
2020-10-29,12291
2020-10-28,12044
2020-10-27,11795
2020-10-26,11565
2020-10-25,11328
2020-10-24,11183
2020-10-23,11032
2020-10-22,10866
2020-10-21,10648
2020-10-20,10364
2020-10-19,10080
2020-10-18,9784
2020-10-17,9620
2020-10-16,9429
2020-10-15,9180
2020-10-14,8918
2020-10-13,8543
2020-10-12,8179
2020-10-11,7875
2020-10-10,7579
2020-10-09,7351
2020-10-08,7051
2020-10-07,6689
2020-10-06,6336
2020-10-05,6093
2020-10-04,5817
2020-10-03,5627
2020-10-02,5485
2020-10-01,5313
2020-09-30,5153
2020-09-29,5029
2020-09-28,4887
2020-09-27,4786
2020-09-26,4720
2020-09-25,4636
2020-09-24,4582
2020-09-23,4479
2020-09-22,4398
2020-09-21,4326
2020-09-20,4247
2020-09-19,4174
2020-09-18,4123
2020-09-17,4065
2020-09-16,4010
2020-09-15,3973
2020-09-14,3941
2020-09-13,3907
2020-09-12,3890
2020-09-11,3871
2020-09-10,3843
2020-09-09,3808
2020-09-08,3768
2020-09-07,3730
2020-09-06,3700
2020-09-05,3675
2020-09-04,3630
2020-09-03,3601
2020-09-02,3571
2020-09-01,3553
2020-08-31,3543
2020-08-30,3533
2020-08-29,3526
2020-08-28,3515
2020-08-27,3505
2020-08-26,3494
2020-08-25,3481
2020-08-24,3474
2020-08-23,3467
2020-08-22,3465
2020-08-21,3458
2020-08-20,3447
2020-08-19,3438
2020-08-18,3433
2020-08-17,3428
2020-08-16,3416
2020-08-15,3413
2020-08-14,3401
2020-08-13,3384
2020-08-12,3380
2020-08-11,3378
2020-08-10,3374
2020-08-09,3372
2020-08-08,3370
2020-08-07,3367
2020-08-06,3366
2020-08-05,3365
2020-08-04,3363
2020-08-03,3360
2020-08-02,3360
2020-08-01,3359
2020-07-31,3358
2020-07-30,3354
2020-07-29,3354
2020-07-28,3352
2020-07-27,3352
2020-07-26,3348
2020-07-25,3345
