date,cases
2021-01-17,347
2021-01-16,347
2021-01-15,344
2021-01-14,342
2021-01-13,341
2021-01-12,341
2021-01-11,339
2021-01-10,339
2021-01-09,336
2021-01-08,335
2021-01-07,333
2021-01-06,333
2021-01-05,332
2021-01-04,331
2021-01-03,331
2021-01-02,330
2021-01-01,327
2020-12-31,326
2020-12-30,324
2020-12-29,322
2020-12-28,322
2020-12-27,319
2020-12-26,317
2020-12-25,313
2020-12-24,310
2020-12-23,310
2020-12-22,310
2020-12-21,308
2020-12-20,307
2020-12-19,303
2020-12-18,303
2020-12-17,300
2020-12-16,300
2020-12-15,300
2020-12-14,300
2020-12-13,300
2020-12-12,300
2020-12-11,298
2020-12-10,296
2020-12-09,294
2020-12-08,293
2020-12-07,292
2020-12-06,291
2020-12-05,291
2020-12-04,291
2020-12-03,289
2020-12-02,288
2020-12-01,284
2020-11-30,281
2020-11-29,280
2020-11-28,278
2020-11-27,276
2020-11-26,275
2020-11-25,273
2020-11-24,269
2020-11-23,265
2020-11-22,258
2020-11-21,255
2020-11-20,252
2020-11-19,249
2020-11-18,248
2020-11-17,244
2020-11-16,240
2020-11-15,238
2020-11-14,237
2020-11-13,235
2020-11-12,233
2020-11-11,232
2020-11-10,228
2020-11-09,226
2020-11-08,225
2020-11-07,223
2020-11-06,222
2020-11-05,220
2020-11-04,218
2020-11-03,216
2020-11-02,214
2020-11-01,211
2020-10-31,210
2020-10-30,210
2020-10-29,207
2020-10-28,205
2020-10-27,204
2020-10-26,203
2020-10-25,203
2020-10-24,201
2020-10-23,200
2020-10-22,200
2020-10-21,198
2020-10-20,198
2020-10-19,196
2020-10-18,195
2020-10-17,193
2020-10-16,193
2020-10-15,193
2020-10-14,193
2020-10-13,192
2020-10-12,191
2020-10-11,190
2020-10-10,188
2020-10-09,186
2020-10-08,186
2020-10-07,184
2020-10-06,184
2020-10-05,183
2020-10-04,182
2020-10-03,181
2020-10-02,179
2020-10-01,177
2020-09-30,177
2020-09-29,177
2020-09-28,176
2020-09-27,176
2020-09-26,175
2020-09-25,175
2020-09-24,174
2020-09-23,174
2020-09-22,174
2020-09-21,174
2020-09-20,174
2020-09-19,173
2020-09-18,173
2020-09-17,172
2020-09-16,170
2020-09-15,170
2020-09-14,170
2020-09-13,170
2020-09-12,170
2020-09-11,170
2020-09-10,170
2020-09-09,170
2020-09-08,170
2020-09-07,170
2020-09-06,170
2020-09-05,170
2020-09-04,170
2020-09-03,170
2020-09-02,170
2020-09-01,170
2020-08-31,170
2020-08-30,170
2020-08-29,170
2020-08-28,170
2020-08-27,170
2020-08-26,170
2020-08-25,170
2020-08-24,170
2020-08-23,170
2020-08-22,170
2020-08-21,170
2020-08-20,170
2020-08-19,170
2020-08-18,170
2020-08-17,170
2020-08-16,170
2020-08-15,170
2020-08-14,169
2020-08-13,169
2020-08-12,169
2020-08-11,169
2020-08-10,169
2020-08-09,169
2020-08-08,169
2020-08-07,169
2020-08-06,169
2020-08-05,169
2020-08-04,169
2020-08-03,169
2020-08-02,169
2020-08-01,169
2020-07-31,169
2020-07-30,169
2020-07-29,169
2020-07-28,169
2020-07-27,169
2020-07-26,169
2020-07-25,169
