date,cases
2021-01-12,133
2021-01-11,136
2021-01-10,127
2021-01-09,119
2021-01-08,106
2021-01-07,105
2021-01-06,108
2021-01-05,100
2021-01-04,82
2021-01-03,81
2021-01-02,78
2021-01-01,55
2020-12-31,47
2020-12-30,54
2020-12-29,53
2020-12-28,46
2020-12-27,40
2020-12-26,36
2020-12-25,41
2020-12-24,46
2020-12-23,50
2020-12-22,50
2020-12-21,55
2020-12-20,53
2020-12-19,60
2020-12-18,61
2020-12-17,62
2020-12-16,66
2020-12-15,58
2020-12-14,65
2020-12-13,56
2020-12-12,73
2020-12-11,72
2020-12-10,69
2020-12-09,68
2020-12-08,70
2020-12-07,75
2020-12-06,80
2020-12-05,69
2020-12-04,73
2020-12-03,78
2020-12-02,85
2020-12-01,90
2020-11-30,97
2020-11-29,98
2020-11-28,97
2020-11-27,98
2020-11-26,105
2020-11-25,107
2020-11-24,117
2020-11-23,126
2020-11-22,125
2020-11-21,132
2020-11-20,133
2020-11-19,139
2020-11-18,134
2020-11-17,141
2020-11-16,146
2020-11-15,137
2020-11-14,135
2020-11-13,129
2020-11-12,120
2020-11-11,117
2020-11-10,115
2020-11-09,113
2020-11-08,113
2020-11-07,101
2020-11-06,104
2020-11-05,110
2020-11-04,114
2020-11-03,111
2020-11-02,104
2020-11-01,93
2020-10-31,94
2020-10-30,81
2020-10-29,76
2020-10-28,75
2020-10-27,73
2020-10-26,70
2020-10-25,68
2020-10-24,69
2020-10-23,59
2020-10-22,64
2020-10-21,64
2020-10-20,58
2020-10-19,59
2020-10-18,60
2020-10-17,56
2020-10-16,57
2020-10-15,56
2020-10-14,56
2020-10-13,74
2020-10-12,74
2020-10-11,69
2020-10-10,78
2020-10-09,71
2020-10-08,68
2020-10-07,58
2020-10-06,54
2020-10-05,57
2020-10-04,43
2020-10-03,48
2020-10-02,46
2020-10-01,43
2020-09-30,37
2020-09-29,47
2020-09-28,49
2020-09-27,39
2020-09-26,35
2020-09-25,33
2020-09-24,28
2020-09-23,20
2020-09-22,16
2020-09-21,15
2020-09-20,19
2020-09-19,14
2020-09-18,10
2020-09-17,11
2020-09-16,11
2020-09-15,8
2020-09-14,8
2020-09-13,7
2020-09-12,6
2020-09-11,4
2020-09-10,3
2020-09-09,2
2020-09-08,2
2020-09-07,2
2020-09-06,2
2020-09-05,3
2020-09-04,2
2020-09-03,1
2020-09-02,1
2020-09-01,1
2020-08-31,1
2020-08-30,1
2020-08-29,1
2020-08-28,0
2020-08-27,0
2020-08-26,0
2020-08-25,0
2020-08-24,0
2020-08-23,0
2020-08-22,0
2020-08-21,0
2020-08-20,0
2020-08-19,0
2020-08-18,0
2020-08-17,1
2020-08-16,2
2020-08-15,1
2020-08-14,1
2020-08-13,1
2020-08-12,2
2020-08-11,1
2020-08-10,1
2020-08-09,1
2020-08-08,2
2020-08-07,1
2020-08-06,1
2020-08-05,1
2020-08-04,4
2020-08-03,2
2020-08-02,3
2020-08-01,3
2020-07-31,3
2020-07-30,3
2020-07-29,2
2020-07-28,3
2020-07-27,3
2020-07-26,4
2020-07-25,3
2020-07-24,4
2020-07-23,4
2020-07-22,1
2020-07-21,1
2020-07-20,5
