date,cases
2021-01-17,19813
2021-01-16,19788
2021-01-15,19696
2021-01-14,19582
2021-01-13,19446
2021-01-12,19312
2021-01-11,19184
2021-01-10,19042
2021-01-09,18949
2021-01-08,18857
2021-01-07,18740
2021-01-06,18626
2021-01-05,18506
2021-01-04,18369
2021-01-03,18204
2021-01-02,18081
2021-01-01,17955
2020-12-31,17888
2020-12-30,17788
2020-12-29,17661
2020-12-28,17514
2020-12-27,17432
2020-12-26,17366
2020-12-25,17302
2020-12-24,17282
2020-12-23,17229
2020-12-22,17146
2020-12-21,17064
2020-12-20,16992
2020-12-19,16938
2020-12-18,16902
2020-12-17,16835
2020-12-16,16792
2020-12-15,16730
2020-12-14,16636
2020-12-13,16566
2020-12-12,16500
2020-12-11,16438
2020-12-10,16367
2020-12-09,16292
2020-12-08,16219
2020-12-07,16150
2020-12-06,16099
2020-12-05,16054
2020-12-04,16027
2020-12-03,15985
2020-12-02,15937
2020-12-01,15878
2020-11-30,15814
2020-11-29,15750
2020-11-28,15710
2020-11-27,15661
2020-11-26,15595
2020-11-25,15522
2020-11-24,15426
2020-11-23,15344
2020-11-22,15231
2020-11-21,15163
2020-11-20,15093
2020-11-19,14996
2020-11-18,14863
2020-11-17,14698
2020-11-16,14508
2020-11-15,14318
2020-11-14,14194
2020-11-13,14051
2020-11-12,13839
2020-11-11,13679
2020-11-10,13436
2020-11-09,13243
2020-11-08,12988
2020-11-07,12833
2020-11-06,12679
2020-11-05,12489
2020-11-04,12315
2020-11-03,12148
2020-11-02,11964
2020-11-01,11788
2020-10-31,11673
2020-10-30,11556
2020-10-29,11430
2020-10-28,11316
2020-10-27,11203
2020-10-26,11066
2020-10-25,10888
2020-10-24,10766
2020-10-23,10659
2020-10-22,10545
2020-10-21,10395
2020-10-20,10226
2020-10-19,10020
2020-10-18,9852
2020-10-17,9733
2020-10-16,9645
2020-10-15,9503
2020-10-14,9351
2020-10-13,9155
2020-10-12,8962
2020-10-11,8725
2020-10-10,8571
2020-10-09,8402
2020-10-08,8173
2020-10-07,7867
2020-10-06,7507
2020-10-05,7039
2020-10-04,6622
2020-10-03,6156
2020-10-02,5721
2020-10-01,5329
2020-09-30,4908
2020-09-29,4584
2020-09-28,4186
2020-09-27,3860
2020-09-26,3629
2020-09-25,3337
2020-09-24,3150
2020-09-23,3009
2020-09-22,2862
2020-09-21,2754
2020-09-20,2604
2020-09-19,2465
2020-09-18,2369
2020-09-17,2269
2020-09-16,2224
2020-09-15,2161
2020-09-14,2112
2020-09-13,2086
2020-09-12,2063
2020-09-11,2028
2020-09-10,1992
2020-09-09,1953
2020-09-08,1932
2020-09-07,1903
2020-09-06,1879
2020-09-05,1848
2020-09-04,1805
2020-09-03,1777
2020-09-02,1753
2020-09-01,1737
2020-08-31,1722
2020-08-30,1718
2020-08-29,1711
2020-08-28,1703
2020-08-27,1690
2020-08-26,1683
2020-08-25,1676
2020-08-24,1668
2020-08-23,1666
2020-08-22,1664
2020-08-21,1663
2020-08-20,1657
2020-08-19,1645
2020-08-18,1638
2020-08-17,1627
2020-08-16,1620
2020-08-15,1618
2020-08-14,1616
2020-08-13,1614
2020-08-12,1600
2020-08-11,1590
2020-08-10,1578
2020-08-09,1573
2020-08-08,1571
2020-08-07,1571
2020-08-06,1570
2020-08-05,1563
2020-08-04,1560
2020-08-03,1559
2020-08-02,1557
2020-08-01,1556
2020-07-31,1554
2020-07-30,1553
2020-07-29,1549
2020-07-28,1545
2020-07-27,1545
2020-07-26,1545
2020-07-25,1545
